trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2757,False,"{'a': 0.1, 'e': 0.06339442090912595}",25,11,-15.769021310535138,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
2758,False,"{'a': 0.1, 'e': 0.06333102648821683}",20,16,8.63306686564598,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2759,False,"{'a': 0.1, 'e': 0.06326769546172861}",20,15,10.396181926596334,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2760,False,"{'a': 0.1, 'e': 0.06320442776626688}",25,15,19.267059474999193,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2761,False,"{'a': 0.1, 'e': 0.06314122333850061}",20,5,-70.01340235217987,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
2762,False,"{'a': 0.1, 'e': 0.06307808211516211}",25,19,11.822570425060963,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2763,False,"{'a': 0.1, 'e': 0.06301500403304695}",25,15,19.81845561813188,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2764,False,"{'a': 0.1, 'e': 0.0629519890290139}",30,22,16.249964311161573,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2765,False,"{'a': 0.1, 'e': 0.06288903703998489}",25,18,13.61452816991722,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2766,False,"{'a': 0.1, 'e': 0.0628261480029449}",30,18,23.79206429034161,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2767,False,"{'a': 0.1, 'e': 0.06276332185494196}",20,13,15.29011614858097,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2768,False,"{'a': 0.1, 'e': 0.06270055853308702}",20,12,13.813264756851938,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2769,False,"{'a': 0.1, 'e': 0.06263785797455393}",20,9,20.56896855935851,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2770,False,"{'a': 0.1, 'e': 0.06257522011657937}",25,6,28.778332711400395,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2771,False,"{'a': 0.1, 'e': 0.0625126448964628}",20,16,4.995905078070109,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2772,False,"{'a': 0.1, 'e': 0.062450132251566336}",25,5,31.12409718012157,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
